Date,Type,Close,Score,Pool A,Pool B,Pool C,Bonus,Entry Price,P&L%,Exit Reason,Bars from Trough
2026-04-09 00:00:00,ENTRY,310.25,70.36,33.66,18.25,6.95,11.5,310.25,,,20
2026-05-21 00:00:00,WATCHLIST,413.6,69.61,28,16.61,8,17,310.25,,,48
2026-05-22 00:00:00,WATCHLIST,418.3,69.09,28,16.09,8,17,310.25,,,49
2026-06-03 00:00:00,EXIT,449.45,73,28,20,8,17,310.25,44.87,"PRIMARY: DIVERGENCE (STRONG, RSI 72.30->64.56, drop=7.74pts)",56
2026-06-10 00:00:00,ENTRY,436.55,71.92,26.49,20.43,8,17,436.55,,,61
2026-06-12 00:00:00,WATCHLIST,449.7,62.45,24.88,12.57,8,17,436.55,,,63
2026-07-24 00:00:00,EXIT,670.45,74,28,20,12,14,436.55,53.58,PERIOD_END,92
